stock_code,trade_date,ma5,ma10,ma20,ma60,vol_ma5,kd_k,kd_d,macd_dif,macd_macd,macd_osc,rsi6,rsi12,bb_upper,bb_mid,bb_lower,bias20,ma_alignment
1231,2026-07-27,91.8,90.60999984741211,89.05999984741212,87.54166653951009,348915.4,80.32795493241336,75.08161041211332,1.207963527799862,0.8087433396758879,0.3992201881239741,66.57301416736686,63.1808102014403,93.55813926540219,89.05999984741212,84.56186042942204,3.413427612752589,多排
1232,2026-07-27,155.3,157.0,151.3,148.3,357180.6,23.98706597616085,37.59707557765317,2.728890370584679,2.6768065836251824,0.05208378695949678,48.40298686297924,53.02076331165228,166.0876192881245,151.3,136.51238071187552,1.7845340383344275,交叉混雜
1233,2026-07-27,28.99000015258789,28.760000038146973,28.45,28.314166577657065,16033.6,51.78360244314538,53.47702942416725,0.2372765748452501,0.14384615002738918,0.09343042481786093,61.314213093271384,60.61686734325075,29.30409254164716,28.45,27.595907458352837,1.9332161687170502,多排
1234,2026-07-27,33.619999694824216,33.675,33.45,34.240000279744464,97120.8,61.453570400104496,61.12487891344047,-0.16095081146507084,-0.23213788168026425,0.07118707021519341,55.72234845159879,49.810515001270026,34.01382149001241,33.45,32.886178509987595,0.8968609865470767,交叉混雜
1235,2026-07-27,36.32999954223633,36.55,36.51250038146973,38.560000038146974,18616.8,42.681293715816615,46.86232243718576,-0.39782893246586326,-0.4920894741282911,0.09426054166242787,47.45091490203375,46.04080441128628,37.66135574130396,36.51250038146973,35.3636450216355,-0.4450582831930752,交叉混雜
1236,2026-07-27,23.579999923706055,23.464999771118165,24.372499656677245,24.89999993642171,31372.2,41.28999348862864,34.220477271674945,-0.5167861669431808,-0.4594986724551154,-0.057287494488065416,36.148928025160814,35.7002098484991,26.62672947242063,24.372499656677245,22.11826984093386,-3.5798529858147305,交叉混雜
1240,2026-07-27,55.0,55.339999771118165,56.65999984741211,57.57333335876465,7112.4,8.687752103307117,17.192281100396453,-0.86088113385388,-0.6348425769398891,-0.22603855691399088,26.320981219716558,29.57311969539643,59.733417207264864,56.65999984741211,53.586582487559355,-3.635724283160414,空排
1256,2026-07-27,184.5,185.7,189.2,185.29166666666666,53842.2,24.55465208245027,27.76264446783751,-0.19987583343780102,0.9555975039931177,-1.1554733374309187,35.896763317558964,43.1226690479674,202.05710944022266,189.2,176.34289055977732,-3.5412262156448144,交叉混雜
1268,2026-07-27,173.2,171.1,169.825,167.05,25150.4,59.56589304357874,61.797071838598264,1.2563179005030065,0.9355245296976666,0.3207933708053399,55.20406533853511,56.32410121985262,175.8971538708718,169.825,163.7528461291282,1.2807301634035104,多排
1294,2026-07-27,56.279999542236325,56.52999992370606,58.9783332824707,63.289999898274736,12103.6,31.68172577048421,26.518794198205835,-2.253330137484369,-2.183071947200014,-0.07025819028435487,30.04362434130124,29.788593066438835,65.81800120863701,58.9783332824707,52.13866535630438,-5.3889858673825985,空排
1295,2026-07-27,48.310000610351565,48.910000228881835,48.93250026702881,50.060486030578616,18853.6,18.5484715935429,21.909591415787265,-0.4006179143251316,-0.3172713408507025,-0.08334657347442909,32.24092462716152,40.42714744708018,50.93151946404183,48.93250026702881,46.93348107001579,-2.723142667217367,空排
1301,2026-07-27,63.07999954223633,63.369998931884766,60.48999938964844,52.38333326975505,74674560.4,36.13784901881146,52.37242158304815,2.8295506992917865,3.1274819316824303,-0.2979312323906438,41.9866409678815,50.99471869544943,68.16769000483912,60.48999938964844,52.81230877445776,-0.810050247301361,交叉混雜
1303,2026-07-27,189.1,198.95,191.45,134.38166681925455,95743348.6,21.891550257321068,40.267063870501374,12.015529688841525,17.90052072452544,-5.884991035683914,32.496187347011684,44.741775847276216,225.35218126812612,191.45,157.54781873187386,-12.509793679811956,交叉混雜
1304,2026-07-27,12.95,13.24000005722046,13.605000019073486,13.119999980926513,6677525.4,13.622470255525378,18.167025169118972,-0.15986050835848253,0.004058048839934311,-0.16391855719841686,23.27954497886428,34.740663879478575,15.025859654808153,13.605000019073486,12.18414038333882,-11.42962018492169,交叉混雜
1305,2026-07-27,12.40999984741211,12.589999866485595,13.002499961853028,12.9149999777476,2909471.0,18.84522181216813,23.875045364331072,-0.2359597767743864,-0.12326108476477943,-0.11269869200960697,23.93974067834891,34.641021749540215,14.362250493084082,13.002499961853028,11.642749430621974,-10.017305567461564,交叉混雜
1307,2026-07-27,32.2299991607666,32.229999732971194,32.82499990463257,33.16583331425985,473752.8,41.243294040594016,43.97694833704789,-0.5614335053732802,-0.4836486153799805,-0.07778488999329969,30.07538714417636,36.261424519311575,35.129800067224515,32.82499990463257,30.520199742040624,-4.341204235315739,空排
1308,2026-07-27,14.140000152587891,14.365000152587891,14.590000104904174,13.910833358764648,3037834.0,17.81838634934449,22.317379165048738,-0.03603455193206351,0.11706996806214427,-0.15310451999420777,24.236887905624258,35.91387877515372,15.744214370666633,14.590000104904174,13.435785839141715,-9.184373511099265,交叉混雜
1309,2026-07-27,14.670000076293945,14.755000019073487,14.900000095367432,15.549166711171468,7357234.4,23.591592419829496,27.297613318475637,-0.2239060751138382,-0.20739728679592825,-0.016508788317909945,30.42800238568111,38.283466467391015,16.070695134197184,14.900000095367432,13.72930505653768,-7.7181213960191775,空排
1310,2026-07-27,9.847999954223633,10.080999946594238,10.415500020980835,9.269666663805644,4657390.2,12.769921877002838,17.48223773225616,0.01818009477642768,0.20877604737326447,-0.1905959525968368,19.655099367464786,34.40315794382704,11.620550364959241,10.415500020980835,9.210449677002428,-13.878351985408594,交叉混雜
1312,2026-07-27,13.260000038146973,13.155000019073487,13.552500009536743,12.7021666208903,26763813.4,27.22178410167075,33.23503571781515,-0.09397053459301219,0.03393247496755619,-0.12790300956056838,28.36457962041345,36.63964758139969,14.869384223750401,13.552500009536743,12.235615795323085,-10.717577030399623,交叉混雜
1313,2026-07-27,11.929999923706054,12.144999980926514,12.525,11.574999984105428,5065433.8,20.16215740692814,25.21183318082553,-0.034105208091000705,0.1445256168605687,-0.1786308249515694,25.18085754901807,37.25571679042904,13.884373099157841,12.525,11.16562690084216,-10.97804695784213,交叉混雜
1314,2026-07-27,8.3,8.507999992370605,8.860499954223632,7.9234999736150105,33520295.2,7.304939554747876,11.86712619087215,0.0036422779310250064,0.15938776516645636,-0.15574548723543136,24.218815065579875,38.32169011817842,10.127564119297638,8.860499954223632,7.593435789149628,-10.275945484593988,交叉混雜
1315,2026-07-27,64.03999938964844,64.16999969482421,63.77999992370606,62.32666664123535,16512.8,31.06207186967788,45.77548964890433,0.4198417563179433,0.5206937115608603,-0.10085195524291701,41.163276729082234,50.43071099478228,65.19212821476327,63.77999992370606,62.36787163264884,-0.2822224048295428,交叉混雜
1316,2026-07-27,10.259999847412109,10.249999904632569,10.365000009536743,10.591666682561238,828998.4,38.22333847240884,38.44827912521263,-0.10563518304191,-0.10475162658329412,-0.0008835564586158751,40.74930253315638,43.44811442570837,10.778075752846775,10.365000009536743,9.951924266226712,-2.0742922412797857,交叉混雜
1319,2026-07-27,72.7999984741211,73.66999893188476,75.06999931335449,82.89333305358886,1811773.4,17.651811352024747,22.257523346006902,-3.2478650881457014,-3.3603355067904426,0.11247041864474117,25.013609560290078,31.621491177442167,78.7789365590657,75.06999931335449,71.36106206764327,-3.823101626966105,空排
1321,2026-07-27,32.079999923706055,31.945000076293944,31.70250005722046,30.53083346684774,122920.6,79.48596066204605,73.4388289873161,0.3448095829479101,0.3224982198759848,0.022311363071925272,69.325865934766,63.07052150425616,32.54197005347349,31.70250005722046,30.86303006096742,2.357860434886259,多排
1323,2026-07-27,19.89000015258789,20.00500030517578,20.07750015258789,19.919166723887127,50519.2,27.145125552239367,34.38247104701,-0.020332056262926557,0.020076982445111254,-0.04040903870803781,32.18962654482664,41.90692194745047,20.60910640135687,20.07750015258789,19.545893903818914,-1.6311799282724855,交叉混雜
1324,2026-07-27,10.280000114440918,10.3,10.407500076293946,10.38083332379659,50134.4,53.02465634155745,46.51997725202854,-0.05372920311571683,-0.041112469729527534,-0.012616733386189294,39.568022203642435,42.702644811056096,10.72584298710363,10.407500076293946,10.089157165484263,-1.5133324538973334,交叉混雜
1325,2026-07-27,27.150000381469727,26.210000419616698,25.390000343322754,26.121666717529298,1715759.0,68.70045083363603,66.65120768072339,0.45575265178376156,0.05003881980869972,0.40571383197506183,70.55024606151548,65.64771284431563,27.904924366210448,25.390000343322754,22.87507632043506,8.704214290127705,交叉混雜
1326,2026-07-27,68.31999893188477,67.85999946594238,64.99999942779542,54.9066665649414,88616234.2,35.47016818911593,50.9177224298888,3.27334866306672,3.716016002162722,-0.4426673390960021,38.981598824360184,49.070086323392054,74.3538616659069,64.99999942779542,55.64613718968393,-2.7692287395409485,多排
