stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00712,2026-09-07,-193000,0,0,-13157762,-13350762
2353,2026-09-07,-15924698,0,1431443,-23949,-14517204
2313,2026-09-07,-17596478,0,-3906000,370077,-21132401
00673R,2026-09-07,395000,0,0,-35072281,-34677281
00961,2026-09-07,-3334800,0,0,-41909544,-45244344
009828,2026-09-07,-3899350,0,0,-47514899,-51414249
2324,2026-09-07,-51963880,0,-50968,-1602550,-53617398
00632R,2026-09-07,-5584981,0,0,-60807916,-66392897
00919,2026-09-07,-25097891,0,-1500000,-85131488,-111729379
00918,2026-09-07,-5979692,0,0,-107417621,-113397313
00411A,2026-09-07,-147000,0,0,5776911,5629911
006201,2026-09-07,3957,0,0,-5799,-1842
00679B,2026-09-07,-330962,0,0,-878654,-1209616
00687B,2026-09-07,-75000,0,-95000,-855854,-1025854
00687C,2026-09-07,0,0,0,0,0
00694B,2026-09-07,2000,0,0,-39221,-37221
00695B,2026-09-07,35000,0,0,-67405,-32405
00696B,2026-09-07,40000,0,0,-72286,-32286
00697B,2026-09-07,1000,0,0,-148272,-147272
00719B,2026-09-07,-9970,0,0,-1808983,-1818953
00720B,2026-09-07,18000,0,0,1104164,1122164
00722B,2026-09-07,91000,0,0,-145949,-54949
00723B,2026-09-07,0,0,0,-19000,-19000
00724B,2026-09-07,91000,0,0,-178352,-87352
00725B,2026-09-07,23000,0,0,419385,442385
00726B,2026-09-07,-1000,0,0,-11285,-12285
00727B,2026-09-07,-1000,0,0,-11795,-12795
00734B,2026-09-07,1000,0,0,0,1000
00740B,2026-09-07,-4000,0,0,-216415,-220415
00741B,2026-09-07,-11000,0,0,6447,-4553
00746B,2026-09-07,1000,0,0,-149000,-148000
00749B,2026-09-07,-3000,0,0,10000,7000
00750B,2026-09-07,0,0,0,0,0
00751B,2026-09-07,-37687,0,0,-940914,-978601
00754B,2026-09-07,0,0,0,-105,-105
00755B,2026-09-07,0,0,0,-1495,-1495
00756B,2026-09-07,-18000,0,0,21668,3668
00758B,2026-09-07,0,0,0,-112,-112
00759B,2026-09-07,0,0,0,0,0
00760B,2026-09-07,0,0,0,332,332
00761B,2026-09-07,7050,0,0,66571,73621
00764B,2026-09-07,-10000,0,0,-72721,-82721
00768B,2026-09-07,0,0,0,-18672,-18672
00772B,2026-09-07,503000,0,0,-387689,115311
00773B,2026-09-07,-5000,0,0,-2879,-7879
00777B,2026-09-07,0,0,0,-1000,-1000
00778B,2026-09-07,0,0,0,0,0
00779B,2026-09-07,-1000,0,0,-3000,-4000
00780B,2026-09-07,-1000,0,0,-7033,-8033
00781B,2026-09-07,0,0,0,-80543,-80543
00782B,2026-09-07,0,0,0,17528,17528
00785B,2026-09-07,0,0,0,-1172,-1172
00786B,2026-09-07,8000,0,0,-1154,6846
00787B,2026-09-07,0,0,0,1877,1877
00788B,2026-09-07,0,0,0,-9,-9
00789B,2026-09-07,0,0,0,0,0
00791B,2026-09-07,-3000,0,0,0,-3000
00792B,2026-09-07,0,0,0,-16138,-16138
00793B,2026-09-07,0,0,0,7010,7010
00795B,2026-09-07,446000,0,0,616829,1062829
00799B,2026-09-07,-1000,0,0,-5520,-6520
00834B,2026-09-07,0,0,0,0,0
00836B,2026-09-07,27000,0,0,38259,65259
00840B,2026-09-07,0,0,0,0,0
00841B,2026-09-07,0,0,0,0,0
00842B,2026-09-07,-9000,0,0,-11259,-20259
00844B,2026-09-07,0,0,0,-337,-337
00845B,2026-09-07,0,0,0,-1000,-1000
00846B,2026-09-07,0,0,0,-1283,-1283
00847B,2026-09-07,8000,0,0,99000,107000
00848B,2026-09-07,0,0,0,0,0
00849B,2026-09-07,0,0,0,-893,-893
00853B,2026-09-07,-5000,0,0,14673,9673
00856B,2026-09-07,-5000,0,0,2000,-3000
00857B,2026-09-07,470000,0,0,-148403,321597
00858,2026-09-07,-8970,0,0,21096,12126
00859B,2026-09-07,-75000,0,0,-706736,-781736
00860B,2026-09-07,0,0,0,-18410,-18410
00862B,2026-09-07,-2000,0,0,61950,59950
