stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
8069,元太,TPEx,做空,145.5,5,-1.69,MA_BEARISH|BELOW_MA20|VOLUME_BREAKDOWN_BLACK|BOUNCE_REJECTION,四線空排（5日均線146.2 < 10日147.35 < 20日152.32 < 60日175.93，向下排列）；股價跌破月線（收盤145.5 < 20日均線152.32）；放量黑K（今日量為5日均量的1.27倍，收盤145.5 < 開盤149）；彈後空下跌（反彈高點153.5未突破前段高點162.5的101%，收盤145.5 < 5日均線146.2）
2478,大毅,TWSE,做空,118.0,5,-1.67,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線118.5 < 10日121.25 < 20日121.8 < 60日141.46，向下排列）；股價跌破月線（收盤118 < 20日均線121.8）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-3.15，柱狀體0.35→0.28）；彈後空下跌（反彈高點126未突破前段高點136的101%，收盤118 < 5日均線118.5）
6139,亞翔,TWSE,做空,696.0,5,-1.56,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線705.6 < 10日724.8 < 20日742.65 < 60日798.02，向下排列）；股價跌破月線（收盤696 < 20日均線742.65）；MACD空頭（DIF=-20.99 < MACD=-17.49，且DIF<0）；彈後空下跌（反彈高點762未突破前段高點792的101%，收盤696 < 5日均線705.6）
8043,蜜望實,TPEx,做空,130.0,5,-1.52,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線131.9 < 10日136.5 < 20日138.12 < 60日148.57，向下排列）；股價跌破月線（收盤130 < 20日均線138.12）；MACD空頭（DIF=-3.07 < MACD=-2.17，且DIF<0）；彈後空下跌（反彈高點146未突破前段高點156的101%，收盤130 < 5日均線131.9）
3227,原相,TPEx,做空,182.5,5,-0.82,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK|RS_WEAK,四線空排（5日均線181.8 < 10日184.7 < 20日189.85 < 60日200.79，向下排列）；股價跌破月線（收盤182.5 < 20日均線189.85）；MACD空頭（DIF=-4.87 < MACD=-4.28，且DIF<0）；放量黑K（今日量為5日均量的1.25倍，收盤182.5 < 開盤184.5）；RS轉弱（相對大盤RS評分由29轉弱至25，落後大盤）
8033,雷虎,TWSE,做空,168.0,5,-0.59,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線170 < 10日172.35 < 20日179.03 < 60日189.76，向下排列）；股價跌破月線（收盤168 < 20日均線179.03）；MACD空頭（DIF=-4.57 < MACD=-3.37，且DIF<0）；彈後空下跌（反彈高點182未突破前段高點205.5的101%，收盤168 < 5日均線170）
3013,晟銘電,TWSE,做空,82.5,5,-0.36,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線82.86 < 10日84.68 < 20日85.81 < 60日89.54，向下排列）；股價跌破月線（收盤82.5 < 20日均線85.81）；MACD空頭（DIF=-1.2 < MACD=-0.85，且DIF<0）；彈後空下跌（反彈高點89.3未突破前段高點93.6的101%，收盤82.5 < 5日均線82.86）
6789,采鈺,TWSE,做空,433.5,5,-0.12,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線434.9 < 10日452.15 < 20日453.48 < 60日465.22，向下排列）；股價跌破月線（收盤433.5 < 20日均線453.48）；MACD空頭（DIF=-4.29 < MACD=-0.6，且DIF<0）；彈後空下跌（反彈高點485未突破前段高點513的101%，收盤433.5 < 5日均線434.9）
8086,宏捷科,TPEx,做空,108.0,5,0.47,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK|RS_WEAK,四線空排（5日均線106.6 < 10日109.1 < 20日112.58 < 60日120.79，向下排列）；股價跌破月線（收盤108 < 20日均線112.58）；MACD空頭（DIF=-3.3 < MACD=-2.94，且DIF<0）；放量黑K（今日量為5日均量的1.42倍，收盤108 < 開盤109）；RS轉弱（相對大盤RS評分由19轉弱至16，落後大盤）
6831,邁科,TWSE,做空,525.0,5,0.0,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線534.2 < 10日553.1 < 20日571.3 < 60日647.29，向下排列）；股價跌破月線（收盤525 < 20日均線571.3）；MACD空頭（DIF=-26.2 < MACD=-21.47，且DIF<0）；彈後空下跌（反彈高點593未突破前段高點638的101%，收盤525 < 5日均線534.2）
4989,榮科,TWSE,做空,59.9,4,-2.28,MA_BEARISH|BELOW_MA20|BOUNCE_REJECTION,四線空排（5日均線59.92 < 10日60.65 < 20日62.25 < 60日70.41，向下排列）；股價跌破月線（收盤59.9 < 20日均線62.25）；彈後空下跌（反彈高點63.9未突破前段高點71.7的101%，收盤59.9 < 5日均線59.92）
2484,希華,TWSE,做空,70.3,4,-1.54,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線68.72 < 10日69.25 < 20日72.25 < 60日74.72，向下排列）；股價跌破月線（收盤70.3 < 20日均線72.25）；MACD空頭（DIF=-1.1 < MACD=-0.84，且DIF<0）；放量黑K（今日量為5日均量的1.39倍，收盤70.3 < 開盤71.5）
8027,鈦昇,TPEx,做空,173.0,4,-0.57,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線168.9 < 10日174.05 < 20日175.57 < 60日192.23，向下排列）；股價跌破月線（收盤173 < 20日均線175.57）；MACD空頭（DIF=-3.94 < MACD=-3.93，且DIF<0）；放量黑K（今日量為5日均量的1.56倍，收盤173 < 開盤174.5）
6451,訊芯-KY,TWSE,做空,419.0,4,-0.48,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線412.2 < 10日424.55 < 20日435.38 < 60日448.41，向下排列）；股價跌破月線（收盤419 < 20日均線435.38）；MACD空頭（DIF=-7.09 < MACD=-3.77，且DIF<0）；放量黑K（今日量為5日均量的1.59倍，收盤419 < 開盤423）
3028,增你強,TWSE,做空,61.1,4,-0.16,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線61.18 < 10日62 < 20日63.76 < 60日68.12，向下排列）；股價跌破月線（收盤61.1 < 20日均線63.76）；MACD空頭（DIF=-1.7 < MACD=-1.54，且DIF<0）；放量黑K（今日量為5日均量的1.21倍，收盤61.1 < 開盤61.2）
5243,乙盛-KY,TWSE,做空,88.8,4,0.45,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線87.68 < 10日89.78 < 20日90.15 < 60日90.64，向下排列）；股價跌破月線（收盤88.8 < 20日均線90.15）；MACD空頭（DIF=-0.47 < MACD=-0.1，且DIF<0）；放量黑K（今日量為5日均量的1.4倍，收盤88.8 < 開盤89.5）
8110,華東,TWSE,做空,43.1,4,2.86,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線41.83 < 10日42.63 < 20日43.97 < 60日45.59，向下排列）；股價跌破月線（收盤43.1 < 20日均線43.97）；MACD空頭（DIF=-0.89 < MACD=-0.72，且DIF<0）；放量黑K（今日量為5日均量的2.44倍，收盤43.1 < 開盤43.15）
6239,力成,TWSE,做空,274.5,4,0.0,MA_BEARISH|BELOW_MA20|MACD_BEARISH|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線272.3 < 10日275.8 < 20日276.62 < 60日284.23，向下排列）；股價跌破月線（收盤274.5 < 20日均線276.62）；MACD空頭（DIF=-0.95 < MACD=-0.61，且DIF<0）；放量黑K（今日量為5日均量的1.41倍，收盤274.5 < 開盤277）
6217,中探針,TPEx,做空,162.5,3,-1.52,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN,四線空排（5日均線162 < 10日171 < 20日171.45 < 60日182.3，向下排列）；股價跌破月線（收盤162.5 < 20日均線171.45）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-1.64，柱狀體-1.73→-1.78）
6116,彩晶,TWSE,做空,13.95,3,-1.41,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN,四線空排（5日均線13.94 < 10日14.16 < 20日14.21 < 60日14.86，向下排列）；股價跌破月線（收盤13.95 < 20日均線14.21）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.08，柱狀體-0.02→-0.02）
3596,智易,TWSE,做空,154.0,3,0.65,MA_BEARISH|BELOW_MA20|KD_DEAD_CROSS,四線空排（5日均線153.4 < 10日155.35 < 20日157.53 < 60日173.55，向下排列）；股價跌破月線（收盤154 < 20日均線157.53）；KD死亡交叉且未過冷（K=21.83，D=19.33，K>20）
3663,鑫科,TPEx,做空,61.0,3,0.99,MA_BEARISH|BELOW_MA20|VOLUME_BREAKDOWN_BLACK,四線空排（5日均線59.66 < 10日60.45 < 20日61.14 < 60日66.54，向下排列）；股價跌破月線（收盤61 < 20日均線61.14）；放量黑K（今日量為5日均量的1.72倍，收盤61 < 開盤61.6）
2912,統一超,TWSE,做空,217.5,3,1.16,MA_BEARISH|BELOW_MA20|KD_DEAD_CROSS,四線空排（5日均線216.2 < 10日216.5 < 20日218.2 < 60日226.18，向下排列）；股價跌破月線（收盤217.5 < 20日均線218.2）；KD死亡交叉且未過冷（K=46.88，D=42.52，K>20）
