stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
2637,慧洋-KY,TWSE,做多,102.0,6,-0.49,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線100.68 > 10日100.15 > 20日97.99 > 60日87.4，向上排列）；股價站上月線（收盤102 > 20日均線97.99）；KD黃金交叉且未過熱（K=59.55，D=57.58，K<80）；回後買上漲（拉回低點95.9未跌破前段低點90.8的99%，收盤102 > 5日均線100.68）；RS轉強（相對大盤RS評分由87轉強至89，領先大盤）
1709,和益,TWSE,做多,42.95,5,9.99,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|VOLUME_BREAKOUT_RED|RS_STRONG,四線多排（5日均線37.95 > 10日36.24 > 20日35.49 > 60日29.33，向上排列）；股價站上月線（收盤42.95 > 20日均線35.49）；MACD多頭（DIF=2.36 > MACD=1.99，且DIF>0）；放量紅K（今日量為5日均量的1.74倍，收盤42.95 > 開盤40.8）；RS轉強（相對大盤RS評分由95轉強至97，領先大盤）
3443,創意,TWSE,做多,6440.0,5,4.38,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND,四線多排（5日均線6233 > 10日6102 > 20日5970.25 > 60日4995.42，向上排列）；股價站上月線（收盤6440 > 20日均線5970.25）；MACD紅柱由縮轉長（動能重新加溫，DIF=312.53，柱狀體-25.82→-12.36）；回後買上漲（拉回低點5730未跌破前段低點5680的99%，收盤6440 > 5日均線6233）
6227,茂綸,TPEx,做多,138.0,5,3.76,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線131.6 > 10日122.8 > 20日119.65 > 60日118.61，向上排列）；股價站上月線（收盤138 > 20日均線119.65）；MACD多頭（DIF=3.5 > MACD=0.95，且DIF>0）；回後買上漲（拉回低點111.5未跌破前段低點108的99%，收盤138 > 5日均線131.6）
6245,立端,TPEx,做多,84.9,5,1.8,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND,四線多排（5日均線83.76 > 10日82.04 > 20日81.5 > 60日81.35，向上排列）；股價站上月線（收盤84.9 > 20日均線81.5）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.49，柱狀體0.45→0.52）；回後買上漲（拉回低點79.2未跌破前段低點76.1的99%，收盤84.9 > 5日均線83.76）
2855,統一證,TWSE,做多,52.4,5,1.55,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線52.06 > 10日51.9 > 20日50.1 > 60日47.81，向上排列）；股價站上月線（收盤52.4 > 20日均線50.1）；MACD多頭（DIF=1.46 > MACD=1.39，且DIF>0）；回後買上漲（拉回低點50.5未跌破前段低點47.75的99%，收盤52.4 > 5日均線52.06）
4904,遠傳,TWSE,做多,106.5,5,1.43,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND,四線多排（5日均線105.9 > 10日104.8 > 20日103.28 > 60日102.36，向上排列）；股價站上月線（收盤106.5 > 20日均線103.28）；MACD紅柱由縮轉長（動能重新加溫，DIF=1.09，柱狀體0.39→0.4）；回後買上漲（拉回低點102未跌破前段低點99.8的99%，收盤106.5 > 5日均線105.9）
2905,三商,TWSE,做多,18.75,5,1.08,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線18.63 > 10日18.38 > 20日17.98 > 60日16.66，向上排列）；股價站上月線（收盤18.75 > 20日均線17.98）；MACD多頭（DIF=0.5 > MACD=0.47，且DIF>0）；回後買上漲（拉回低點17.65未跌破前段低點17的99%，收盤18.75 > 5日均線18.63）
2891,中信金,TWSE,做多,71.5,5,0.99,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線69.44 > 10日68.51 > 20日66.81 > 60日66.35，向上排列）；股價站上月線（收盤71.5 > 20日均線66.81）；MACD多頭（DIF=1.25 > MACD=0.75，且DIF>0）；回後買上漲（拉回低點66未跌破前段低點63.5的99%，收盤71.5 > 5日均線69.44）
2897,王道銀行,TWSE,做多,11.25,5,0.9,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線11.17 > 10日11.01 > 20日10.72 > 60日10.46，向上排列）；股價站上月線（收盤11.25 > 20日均線10.72）；MACD多頭（DIF=0.24 > MACD=0.18，且DIF>0）；回後買上漲（拉回低點10.7未跌破前段低點10.35的99%，收盤11.25 > 5日均線11.17）
