stock_code,data_date,tier,holders,shares,pct
00404A,2026-08-14,8,570,27963381,7.81
00404A,2026-08-14,9,562,45358699,12.67
00404A,2026-08-14,10,171,25858172,7.22
00404A,2026-08-14,11,42,12424754,3.47
00404A,2026-08-14,12,14,7055000,1.97
00404A,2026-08-14,13,2,1325000,0.37
00404A,2026-08-14,14,3,2975022,0.83
00404A,2026-08-14,15,14,76404308,21.35
00404A,2026-08-14,16,0,0,0.0
00404A,2026-08-14,17,23269,357795000,100.0
00405A,2026-08-14,1,6526,1995573,0.05
00405A,2026-08-14,2,70493,186963210,5.14
00405A,2026-08-14,3,29938,258453494,7.11
00405A,2026-08-14,4,11132,147685021,4.06
00405A,2026-08-14,5,11568,221461211,6.09
00405A,2026-08-14,6,10358,278432361,7.66
00405A,2026-08-14,7,4854,178411259,4.91
00405A,2026-08-14,8,4989,241200655,6.63
00405A,2026-08-14,9,7326,566272260,15.58
00405A,2026-08-14,10,2990,439165148,12.08
00405A,2026-08-14,11,984,277247846,7.63
00405A,2026-08-14,12,235,116073512,3.19
00405A,2026-08-14,13,80,56423100,1.55
00405A,2026-08-14,14,57,54692077,1.5
00405A,2026-08-14,15,106,608268273,16.74
00405A,2026-08-14,16,0,0,0.0
00405A,2026-08-14,17,161636,3632745000,100.0
00406A,2026-08-14,1,3036,854822,0.04
00406A,2026-08-14,2,30952,82179312,4.67
00406A,2026-08-14,3,13444,118396171,6.73
00406A,2026-08-14,4,4454,59007614,3.35
00406A,2026-08-14,5,5315,102457073,5.82
00406A,2026-08-14,6,4566,123592843,7.03
00406A,2026-08-14,7,2040,75182289,4.27
00406A,2026-08-14,8,2415,116901759,6.65
00406A,2026-08-14,9,3798,295230563,16.79
00406A,2026-08-14,10,1692,247492931,14.08
00406A,2026-08-14,11,645,181023887,10.29
00406A,2026-08-14,12,182,90976453,5.17
00406A,2026-08-14,13,67,46141133,2.62
00406A,2026-08-14,14,41,38908705,2.21
00406A,2026-08-14,15,63,179216445,10.19
00406A,2026-08-14,16,0,0,0.0
00406A,2026-08-14,17,72710,1757562000,100.0
00407A,2026-08-14,1,6885,2081380,0.06
00407A,2026-08-14,2,72028,187589009,6.28
00407A,2026-08-14,3,27511,237936307,7.97
00407A,2026-08-14,4,9884,130873425,4.38
00407A,2026-08-14,5,9499,182247529,6.11
00407A,2026-08-14,6,8365,224724262,7.53
00407A,2026-08-14,7,3816,140388099,4.7
00407A,2026-08-14,8,3716,179356511,6.01
00407A,2026-08-14,9,5752,441595143,14.8
00407A,2026-08-14,10,2282,334795006,11.22
00407A,2026-08-14,11,788,224154371,7.51
00407A,2026-08-14,12,214,108022927,3.62
00407A,2026-08-14,13,62,44050913,1.47
00407A,2026-08-14,14,56,53066462,1.77
00407A,2026-08-14,15,87,491857656,16.49
00407A,2026-08-14,16,0,0,0.0
00407A,2026-08-14,17,150945,2982739000,100.0
00408A,2026-08-14,1,477,114351,0.07
00408A,2026-08-14,2,4699,11830400,7.34
00408A,2026-08-14,3,1492,13633288,8.46
