stock_code,stock_name,market,sector_id,is_active
2314,台揚,TWSE,269.0,1
2316,楠梓電,TWSE,95.0,1
2317,鴻海,TWSE,267.0,1
2321,東訊,TWSE,269.0,1
2323,中環,TWSE,273.0,1
2324,仁寶,TWSE,262.0,1
2327,國巨*,TWSE,95.0,1
2328,廣宇,TWSE,95.0,1
2329,華泰,TWSE,263.0,1
2330,台積電,TWSE,263.0,1
2331,精英,TWSE,262.0,1
2332,友訊,TWSE,269.0,1
2337,旺宏,TWSE,263.0,1
2338,光罩,TWSE,263.0,1
2340,台亞,TWSE,263.0,1
2342,茂矽,TWSE,263.0,1
2344,華邦電,TWSE,263.0,1
2345,智邦,TWSE,269.0,1
2347,聯強,TWSE,287.0,1
2348,海悅,TWSE,52.0,1
2349,錸德,TWSE,273.0,1
2351,順德,TWSE,263.0,1
2352,佳世達,TWSE,262.0,1
2353,宏��,TWSE,262.0,1
2354,鴻準,TWSE,267.0,1
2355,敬鵬,TWSE,95.0,1
2356,英業達,TWSE,262.0,1
2357,華碩,TWSE,262.0,1
2359,所羅門,TWSE,267.0,1
2360,致茂,TWSE,267.0,1
2362,藍天,TWSE,262.0,1
2363,矽統,TWSE,263.0,1
2364,倫飛,TWSE,262.0,1
2365,昆盈,TWSE,262.0,1
2367,燿華,TWSE,95.0,1
2368,金像電,TWSE,95.0,1
2369,菱生,TWSE,263.0,1
2371,大同,TWSE,102.0,1
2373,震旦行,TWSE,267.0,1
2374,佳能,TWSE,273.0,1
2375,凱美,TWSE,95.0,1
2376,技嘉,TWSE,262.0,1
2377,微星,TWSE,262.0,1
2379,瑞昱,TWSE,263.0,1
2380,虹光,TWSE,262.0,1
2382,廣達,TWSE,262.0,1
2383,台光電,TWSE,95.0,1
2385,群光,TWSE,95.0,1
2387,精元,TWSE,262.0,1
2388,威盛,TWSE,263.0,1
2390,云辰,TWSE,267.0,1
2392,正崴,TWSE,95.0,1
2393,億光,TWSE,273.0,1
2395,研華,TWSE,262.0,1
2397,友通,TWSE,262.0,1
2399,映泰,TWSE,262.0,1
2401,凌陽,TWSE,263.0,1
2402,毅嘉,TWSE,95.0,1
2404,漢唐,TWSE,267.0,1
2405,輔信,TWSE,262.0,1
2406,國碩,TWSE,273.0,1
2408,南亞科,TWSE,263.0,1
2409,友達,TWSE,273.0,1
2412,中華電,TWSE,269.0,1
2413,環科,TWSE,95.0,1
2414,精技,TWSE,287.0,1
2415,錩新,TWSE,95.0,1
2417,圓剛,TWSE,262.0,1
2419,仲琦,TWSE,269.0,1
2420,新巨,TWSE,95.0,1
2421,建準,TWSE,95.0,1
2423,固緯,TWSE,267.0,1
2424,隴華,TWSE,269.0,1
2425,承啟,TWSE,262.0,1
2426,鼎元,TWSE,273.0,1
2427,三商電,TWSE,344.0,1
2428,興勤,TWSE,95.0,1
2429,銘旺科,TWSE,273.0,1
2430,燦坤,TWSE,287.0,1
2431,聯昌,TWSE,95.0,1
2433,互盛電,TWSE,267.0,1
2434,統懋,TWSE,263.0,1
2436,偉詮電,TWSE,263.0,1
2438,翔耀,TWSE,273.0,1
2439,美律,TWSE,269.0,1
2440,太空梭,TWSE,95.0,1
2441,超豐,TWSE,263.0,1
2442,新美齊,TWSE,40.0,1
2444,兆勁,TWSE,269.0,1
2449,京元電子,TWSE,263.0,1
2450,神腦,TWSE,269.0,1
2451,創見,TWSE,263.0,1
2453,凌群,TWSE,344.0,1
2454,聯發科,TWSE,263.0,1
2455,全新,TWSE,269.0,1
2457,飛宏,TWSE,95.0,1
2458,義隆,TWSE,263.0,1
2459,敦吉,TWSE,267.0,1
2460,建通,TWSE,95.0,1
2461,光群雷,TWSE,267.0,1
2462,良得電,TWSE,95.0,1
2464,盟立,TWSE,267.0,1
2465,麗臺,TWSE,262.0,1
2466,冠西電,TWSE,273.0,1
2467,志聖,TWSE,95.0,1
2468,華經,TWSE,344.0,1
2471,資通,TWSE,344.0,1
2472,立隆電,TWSE,95.0,1
2474,可成,TWSE,267.0,1
2476,鉅祥,TWSE,95.0,1
2477,美隆電,TWSE,267.0,1
2478,大毅,TWSE,95.0,1
2480,敦陽科,TWSE,344.0,1
2481,強茂,TWSE,263.0,1
2482,連宇,TWSE,267.0,1
2483,百容,TWSE,95.0,1
2484,希華,TWSE,95.0,1
2485,兆赫,TWSE,269.0,1
2486,一詮,TWSE,273.0,1
2488,漢平,TWSE,267.0,1
2489,瑞軒,TWSE,273.0,1
2491,吉祥全,TWSE,273.0,1
2492,華新科,TWSE,95.0,1
2493,揚博,TWSE,95.0,1
2495,普安,TWSE,262.0,1
2496,卓越,TWSE,52.0,1
2497,怡利電,TWSE,41.0,1
2498,宏達電,TWSE,269.0,1
2501,國建,TWSE,40.0,1
2504,國產,TWSE,40.0,1
2505,國揚,TWSE,40.0,1
2506,太設,TWSE,40.0,1
2509,全坤建,TWSE,40.0,1
2511,太子,TWSE,40.0,1
2514,龍邦,TWSE,52.0,1
2515,中工,TWSE,40.0,1
2516,新建,TWSE,40.0,1
2520,冠德,TWSE,40.0,1
2524,京城,TWSE,40.0,1
2527,宏璟,TWSE,40.0,1
2528,皇普,TWSE,40.0,1
2530,華建,TWSE,40.0,1
2534,宏盛,TWSE,40.0,1
2535,達欣工,TWSE,40.0,1
2536,宏普,TWSE,40.0,1
2537,聯上發,TWSE,40.0,1
2538,基泰,TWSE,40.0,1
2539,櫻花建,TWSE,40.0,1
2540,愛山林,TWSE,40.0,1
2542,興富發,TWSE,40.0,1
2543,皇昌,TWSE,40.0,1
2545,皇翔,TWSE,40.0,1
2546,根基,TWSE,40.0,1
2547,日勝生,TWSE,40.0,1
2548,華固,TWSE,40.0,1
2597,潤弘,TWSE,40.0,1
2601,益航,TWSE,249.0,1
2603,長榮,TWSE,249.0,1
2605,新興,TWSE,249.0,1
2606,裕民,TWSE,249.0,1
2607,榮運,TWSE,249.0,1
2608,嘉里大榮,TWSE,249.0,1
2609,陽明,TWSE,249.0,1
2610,華航,TWSE,249.0,1
2611,志信,TWSE,249.0,1
2612,中航,TWSE,249.0,1
2613,中櫃,TWSE,249.0,1
2614,東森,TWSE,52.0,1
2615,萬海,TWSE,249.0,1
2616,山隆,TWSE,438.0,1
2617,台航,TWSE,249.0,1
2618,長榮航,TWSE,249.0,1
2630,亞航,TWSE,249.0,1
2633,台灣高鐵,TWSE,249.0,1
2634,漢翔,TWSE,249.0,1
2636,台驊控股,TWSE,249.0,1
2637,慧洋-KY,TWSE,249.0,1
2642,宅配通,TWSE,249.0,1
2645,長榮航太,TWSE,249.0,1
2646,星宇航空,TWSE,249.0,1
2701,萬企,TWSE,449.0,1
2702,華園,TWSE,449.0,1
2704,國賓,TWSE,449.0,1
2705,六福,TWSE,449.0,1
2706,第一店,TWSE,449.0,1
2707,晶華,TWSE,449.0,1
2712,遠雄來,TWSE,449.0,1
2722,夏都,TWSE,449.0,1
2723,美食-KY,TWSE,449.0,1
2727,王品,TWSE,449.0,1
2731,雄獅,TWSE,449.0,1
2739,寒舍,TWSE,449.0,1
2748,雲品,TWSE,449.0,1
2753,八方雲集,TWSE,449.0,1
2762,世界健身-KY,TWSE,63.0,1
2801,彰銀,TWSE,464.0,1
2812,台中銀,TWSE,464.0,1
2816,旺旺保,TWSE,464.0,1
2820,華票,TWSE,464.0,1
2832,台產,TWSE,464.0,1
2834,臺企銀,TWSE,464.0,1
2836,高雄銀,TWSE,464.0,1
2838,聯邦銀,TWSE,464.0,1
2845,遠東銀,TWSE,464.0,1
2849,安泰銀,TWSE,464.0,1
2850,新產,TWSE,464.0,1
2851,中再保,TWSE,464.0,1
2852,第一保,TWSE,464.0,1
2855,統一證,TWSE,464.0,1
2867,三商壽,TWSE,464.0,1
2880,華南金,TWSE,464.0,1
2881,富邦金,TWSE,464.0,1
2882,國泰金,TWSE,464.0,1
2883,凱基金,TWSE,464.0,1
2884,玉山金,TWSE,464.0,1
2885,元大金,TWSE,464.0,1
2886,兆豐金,TWSE,464.0,1
2887,台新新光金,TWSE,464.0,1
2889,國票金,TWSE,464.0,1
2890,永豐金,TWSE,464.0,1
2891,中信金,TWSE,464.0,1
2892,第一金,TWSE,464.0,1
2897,王道銀行,TWSE,464.0,1
2901,欣欣,TWSE,492.0,1
2903,遠百,TWSE,492.0,1
2904,匯僑,TWSE,52.0,1
2905,三商,TWSE,492.0,1
2906,高林,TWSE,492.0,1
2908,特力,TWSE,492.0,1
2910,統領,TWSE,492.0,1
2911,麗嬰房,TWSE,492.0,1
2912,統一超,TWSE,492.0,1
2913,農林,TWSE,492.0,1
2915,潤泰全,TWSE,492.0,1
2923,鼎固-KY,TWSE,40.0,1
2929,淘帝-KY,TWSE,492.0,1
2939,永邑-KY,TWSE,492.0,1
2945,三商家購,TWSE,492.0,1
3002,歐格,TWSE,262.0,1
3003,健和興,TWSE,95.0,1
3004,豐達科,TWSE,204.0,1
3005,神基,TWSE,262.0,1
3006,晶豪科,TWSE,263.0,1
3008,大立光,TWSE,273.0,1
3010,華立,TWSE,287.0,1
