stock_code,trade_date,open,high,low,close,volume
1459,2026-08-17,14.199999809265137,14.199999809265137,13.899999618530273,14.0,66666
1460,2026-08-17,6.599999904632568,6.599999904632568,6.550000190734863,6.579999923706055,226264
1463,2026-08-17,17.799999237060547,17.799999237060547,17.600000381469727,17.649999618530273,52185
1464,2026-08-17,10.199999809265137,10.199999809265137,10.050000190734863,10.149999618530273,363186
1465,2026-08-17,12.199999809265137,12.199999809265137,12.0,12.100000381469727,163010
1466,2026-08-17,17.049999237060547,17.100000381469727,16.200000762939453,16.399999618530273,537829
1467,2026-08-17,8.529999732971191,8.640000343322754,8.470000267028809,8.470000267028809,215412
1468,2026-08-17,13.25,13.300000190734863,13.0,13.300000190734863,45009
1470,2026-08-17,23.049999237060547,23.350000381469727,23.049999237060547,23.350000381469727,4007
1471,2026-08-17,9.5,9.600000381469727,9.430000305175781,9.449999809265137,56308
1473,2026-08-17,19.899999618530273,20.049999237060547,19.899999618530273,19.950000762939453,51515
1474,2026-08-17,9.949999809265137,10.050000190734863,9.9399995803833,10.050000190734863,69567
1475,2026-08-17,25.450000762939453,25.549999237060547,24.899999618530273,25.399999618530273,71069
1476,2026-08-17,326.5,326.5,315.5,316.5,1761845
1477,2026-08-17,212.0,212.5,203.0,204.5,4822860
1503,2026-08-17,198.0,204.0,198.0,203.5,1314857
1504,2026-08-17,71.4000015258789,72.69999694824219,70.30000305175781,71.9000015258789,11317929
1506,2026-08-17,10.199999809265137,10.300000190734863,10.149999618530273,10.149999618530273,175099
1512,2026-08-17,6.699999809265137,6.710000038146973,6.539999961853027,6.690000057220459,12007
1513,2026-08-17,169.5,172.5,167.0,171.0,3443788
1514,2026-08-17,101.0,102.0,100.5,102.0,710657
1515,2026-08-17,35.70000076293945,36.900001525878906,33.25,34.25,9520522
1517,2026-08-17,11.399999618530273,11.5,11.350000381469727,11.399999618530273,275914
1519,2026-08-17,708.0,728.0,697.0,720.0,882309
1521,2026-08-17,25.549999237060547,25.899999618530273,25.549999237060547,25.899999618530273,14782
1522,2026-08-17,27.850000381469727,28.299999237060547,27.700000762939453,28.200000762939453,392617
1524,2026-08-17,27.049999237060547,27.200000762939453,26.950000762939453,27.049999237060547,216110
1525,2026-08-17,68.0,68.0,66.4000015258789,67.0,24217
1526,2026-08-17,17.299999237060547,17.649999618530273,17.100000381469727,17.200000762939453,407258
1527,2026-08-17,32.849998474121094,33.04999923706055,32.54999923706055,32.95000076293945,352575
1528,2026-08-17,19.700000762939453,19.75,18.950000762939453,19.100000381469727,596362
1529,2026-08-17,17.0,17.100000381469727,16.850000381469727,17.049999237060547,196989
1530,2026-08-17,29.200000762939453,29.299999237060547,28.799999237060547,29.049999237060547,18682
1531,2026-08-17,13.0,13.0,12.949999809265137,12.949999809265137,70393
1532,2026-08-17,21.850000381469727,22.450000762939453,21.75,22.399999618530273,494073
1533,2026-08-17,32.25,32.25,31.399999618530273,31.5,127693
1535,2026-08-17,45.79999923706055,46.0,45.70000076293945,46.0,42947
1536,2026-08-17,51.0,52.79999923706055,51.0,51.400001525878906,1533775
1537,2026-08-17,127.0,127.5,126.5,127.5,195607
1539,2026-08-17,15.899999618530273,16.0,15.899999618530273,15.949999809265137,16091
1540,2026-08-17,19.200000762939453,19.350000381469727,19.149999618530273,19.200000762939453,87687
1541,2026-08-17,22.100000381469727,22.600000381469727,21.799999237060547,21.850000381469727,12000
1558,2026-08-17,96.5999984741211,99.9000015258789,96.4000015258789,99.69999694824219,151905
1560,2026-08-17,725.0,749.0,715.0,742.0,2192966
1563,2026-08-17,64.9000015258789,64.9000015258789,61.70000076293945,62.0,684280
1568,2026-08-17,29.600000381469727,29.799999237060547,29.100000381469727,29.600000381469727,240242
1582,2026-08-17,74.19999694824219,74.69999694824219,73.19999694824219,73.4000015258789,312445
1583,2026-08-17,49.70000076293945,49.70000076293945,49.20000076293945,49.5,7475
1587,2026-08-17,24.450000762939453,24.850000381469727,24.25,24.25,293039
1590,2026-08-17,1440.0,1480.0,1440.0,1465.0,326342
1597,2026-08-17,144.5,151.0,144.5,145.0,1604962
1598,2026-08-17,20.549999237060547,20.799999237060547,19.899999618530273,20.0,406006
1603,2026-08-17,31.25,31.25,30.450000762939453,30.899999618530273,292178
1604,2026-08-17,23.200000762939453,23.200000762939453,23.0,23.100000381469727,178266
1605,2026-08-17,38.70000076293945,38.70000076293945,37.599998474121094,38.5,26730864
1608,2026-08-17,36.95000076293945,37.0,36.04999923706055,36.349998474121094,4003343
1609,2026-08-17,38.29999923706055,38.349998474121094,37.099998474121094,37.45000076293945,3322183
